,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,added_at,weight,liveness
3Zau3JcrZcBfw8aVjKGkSX,0.715,https://api.spotify.com/v1/audio-analysis/3Zau3JcrZcBfw8aVjKGkSX,0.619,469831,0.532,3Zau3JcrZcBfw8aVjKGkSX,1.33e-05,5,-9.554,1,0.515,120.019,4,https://api.spotify.com/v1/tracks/3Zau3JcrZcBfw8aVjKGkSX,audio_features,spotify:track:3Zau3JcrZcBfw8aVjKGkSX,0.401,,1,0.0953
09CqF6VVL6G7NwkCj3M2lU,0.206,https://api.spotify.com/v1/audio-analysis/09CqF6VVL6G7NwkCj3M2lU,0.779,220157,0.581,09CqF6VVL6G7NwkCj3M2lU,0,1,-7.539,1,0.457,63.588,4,https://api.spotify.com/v1/tracks/09CqF6VVL6G7NwkCj3M2lU,audio_features,spotify:track:09CqF6VVL6G7NwkCj3M2lU,0.804,,1,0.146
1h2LHhmyAXi8tPNLi806JA,0.469,https://api.spotify.com/v1/audio-analysis/1h2LHhmyAXi8tPNLi806JA,0.611,311000,0.454,1h2LHhmyAXi8tPNLi806JA,1.52e-06,0,-7.436,0,0.201,93.004,4,https://api.spotify.com/v1/tracks/1h2LHhmyAXi8tPNLi806JA,audio_features,spotify:track:1h2LHhmyAXi8tPNLi806JA,0.444,,1,0.189
6JvfBzqZmSiEG5MjM7OcSY,0.713,https://api.spotify.com/v1/audio-analysis/6JvfBzqZmSiEG5MjM7OcSY,0.637,208000,0.503,6JvfBzqZmSiEG5MjM7OcSY,0.000113,1,-6.927,1,0.336,81.061,4,https://api.spotify.com/v1/tracks/6JvfBzqZmSiEG5MjM7OcSY,audio_features,spotify:track:6JvfBzqZmSiEG5MjM7OcSY,0.661,,1,0.109
564oa00vY05d1uYnTEAAmE,0.656,https://api.spotify.com/v1/audio-analysis/564oa00vY05d1uYnTEAAmE,0.885,183760,0.595,564oa00vY05d1uYnTEAAmE,4.42e-06,7,-5.487,1,0.286,148.034,4,https://api.spotify.com/v1/tracks/564oa00vY05d1uYnTEAAmE,audio_features,spotify:track:564oa00vY05d1uYnTEAAmE,0.754,,1,0.105
6i4SkbWVHe0pEP9PrreQ7A,0.559,https://api.spotify.com/v1/audio-analysis/6i4SkbWVHe0pEP9PrreQ7A,0.877,164118,0.572,6i4SkbWVHe0pEP9PrreQ7A,0,11,-8.001,0,0.304,135.988,4,https://api.spotify.com/v1/tracks/6i4SkbWVHe0pEP9PrreQ7A,audio_features,spotify:track:6i4SkbWVHe0pEP9PrreQ7A,0.793,,1,0.093
67pIYW0MEQWWkNvuXb70vC,0.16,https://api.spotify.com/v1/audio-analysis/67pIYW0MEQWWkNvuXb70vC,0.929,194818,0.514,67pIYW0MEQWWkNvuXb70vC,0,5,-7.21,1,0.152,140.008,4,https://api.spotify.com/v1/tracks/67pIYW0MEQWWkNvuXb70vC,audio_features,spotify:track:67pIYW0MEQWWkNvuXb70vC,0.641,,1,0.112
6zWU7YALeEDMcPGhKKZJhV,0.117,https://api.spotify.com/v1/audio-analysis/6zWU7YALeEDMcPGhKKZJhV,0.567,194157,0.593,6zWU7YALeEDMcPGhKKZJhV,1.32e-06,6,-7.404,0,0.288,88.545,4,https://api.spotify.com/v1/tracks/6zWU7YALeEDMcPGhKKZJhV,audio_features,spotify:track:6zWU7YALeEDMcPGhKKZJhV,0.358,,1,0.248
3ml3WB66sqG4kXoPBX2POA,0.354,https://api.spotify.com/v1/audio-analysis/3ml3WB66sqG4kXoPBX2POA,0.81,204000,0.308,3ml3WB66sqG4kXoPBX2POA,0,0,-8.194,1,0.0818,120.012,4,https://api.spotify.com/v1/tracks/3ml3WB66sqG4kXoPBX2POA,audio_features,spotify:track:3ml3WB66sqG4kXoPBX2POA,0.56,,1,0.0899
5HycJMEM8MyX4i0ErSeuC4,0.378,https://api.spotify.com/v1/audio-analysis/5HycJMEM8MyX4i0ErSeuC4,0.605,192002,0.774,5HycJMEM8MyX4i0ErSeuC4,6.73e-06,6,-6.269,0,0.315,96.795,4,https://api.spotify.com/v1/tracks/5HycJMEM8MyX4i0ErSeuC4,audio_features,spotify:track:5HycJMEM8MyX4i0ErSeuC4,0.679,,1,0.0438
4viXmrouw3kI33c3OAQOaV,0.638,https://api.spotify.com/v1/audio-analysis/4viXmrouw3kI33c3OAQOaV,0.632,306226,0.742,4viXmrouw3kI33c3OAQOaV,0,9,-4.69,0,0.3,110.103,4,https://api.spotify.com/v1/tracks/4viXmrouw3kI33c3OAQOaV,audio_features,spotify:track:4viXmrouw3kI33c3OAQOaV,0.711,,1,0.243
6kP92fKzIyVJtNobCRsZ6G,0.368,https://api.spotify.com/v1/audio-analysis/6kP92fKzIyVJtNobCRsZ6G,0.653,204535,0.41,6kP92fKzIyVJtNobCRsZ6G,0,5,-13.26,1,0.0912,128.045,4,https://api.spotify.com/v1/tracks/6kP92fKzIyVJtNobCRsZ6G,audio_features,spotify:track:6kP92fKzIyVJtNobCRsZ6G,0.119,,1,0.108
